name,c360API_attribute,bq_view_name,bq_column_name,bq_column_data_type,is_available_in_c360API
uuid,customer_profile.uuid,C360_CUSTOMER_PROFILE,retail_customer_uuid,StringType,true
hhid,customer_profile.hhid,C360_CUSTOMER_PROFILE,household_id,StringType,true
b4uprofileind,customer_profile.b4u_profile_ind,C360_CUSTOMER_PROFILE,b4u_profile_ind,BooleanType,true
b4usignup_dt,customer_profile.b4u_sign_up_dt,C360_CUSTOMER_PROFILE,b4u_sign_up_dt,DateType,true
customer_created_dt,,C360_CUSTOMER_PROFILE,customer_created_dt,DateType,false
birth_month,,C360_CUSTOMER_PROFILE,birth_month,StringType,false
banner_name,,C360_CUSTOMER_PROFILE,banner_name,StringType,false
pharmacypurchaseind,customer_purchase_indicator.pharmacy_purchase_ind_6m,C360_CUSTOMER_PROFILE,pharmacy_purchase_ind_6m,BooleanType,true
gasrewardsind,customer_purchase_indicator.gas_rewards_ind_6m,C360_CUSTOMER_PROFILE,gas_rewards_ind_6m,BooleanType,true
alcoholpurchaseind,customer_purchase_indicator.alcohol_purchase_ind_6m,C360_CUSTOMER_PROFILE,alcohol_purchase_ind_6m,BooleanType,true
petproductpurchase_ind,customer_purchase_indicator.pet_product_purchase_ind_6m,C360_CUSTOMER_PROFILE,pet_product_purchase_ind_6m,BooleanType,true
ownbrandind,customer_purchase_indicator.own_brand_ind_6m,C360_CUSTOMER_PROFILE,own_brand_ind_6m,BooleanType,true
dealclippedind,,C360_CUSTOMER_PROFILE,deal_clipped_ind_6m,BooleanType,false
babyproductpurchase_ind,customer_purchase_indicator.baby_product_purchase_ind_6m,C360_CUSTOMER_PROFILE,baby_product_purchase_ind_6m,BooleanType,true
starbuckspurchaseind,customer_purchase_indicator.starbucks_purchase_ind_6m,C360_CUSTOMER_PROFILE,starbucks_purchase_ind_6m,BooleanType,true
delicatessenpurchaseind,customer_purchase_indicator.delicatessen_purchase_ind_6m,C360_CUSTOMER_PROFILE,delicatessen_purchase_ind_6m,BooleanType,true
producepurchaseind,customer_purchase_indicator.pet_product_purchase_ind_6m,C360_CUSTOMER_PROFILE,produce_purchase_ind_6m,BooleanType,true
foodservicein,customer_purchase_indicator.food_service_purchase_ind_6m,C360_CUSTOMER_PROFILE,food_service_purchase_ind_6m,BooleanType,false
frozengrocerypurchase_ind,customer_purchase_indicator.frozen_grocery_purchase_ind_6m,C360_CUSTOMER_PROFILE,frozen_grocery_purchase_ind_6m,BooleanType,true
bakerypackedoutsidepurchaseind,customer_purchase_indicator.bakery_packed_outside_purchase_ind_6m,C360_CUSTOMER_PROFILE,bakery_packed_outside_purchase_ind_6m,BooleanType,true
dairypurchaseind,customer_purchase_indicator.dairy_purchase_ind_6m,C360_CUSTOMER_PROFILE,dairy_purchase_ind_6m,BooleanType,true
bakerypurchaseind,customer_purchase_indicator.bakery_purchase_ind_6m,C360_CUSTOMER_PROFILE,bakery_purchase_ind_6m,BooleanType,true
coffeekioskpurchase_ind,customer_purchase_indicator.coffee_kiosk_purchase_ind_6m,C360_CUSTOMER_PROFILE,coffee_kiosk_purchase_ind_6m,BooleanType,true
seafoodpurchaseind,customer_purchase_indicator.seafood_purchase_ind_6m,C360_CUSTOMER_PROFILE,seafood_purchase_ind_6m,BooleanType,true
cateringpurchaseind,customer_purchase_indicator.catering_purchase_ind_6m,C360_CUSTOMER_PROFILE,catering_purchase_ind_6m,BooleanType,true
gmhbcpurchase_ind,customer_purchase_indicator.gm_hbc_purchase_ind_6m,C360_CUSTOMER_PROFILE,gm_hbc_purchase_ind_6m,BooleanType,true
platedmealkitspurchaseind,customer_purchase_indicator.plated_meal_kits_purchase_ind_6m,C360_CUSTOMER_PROFILE,plated_meal_kits_purchase_ind_6m,BooleanType,true
meatpurchaseind,customer_purchase_indicator.meat_purchase_ind_6m,C360_CUSTOMER_PROFILE,meat_purchase_ind_6m,BooleanType,true
fuelstationpurchase_ind,customer_purchase_indicator.fuel_station_purchase_ind_6m,C360_CUSTOMER_PROFILE,fuel_station_purchase_ind_6m,BooleanType,true
tobaccopurchaseind,customer_purchase_indicator.tobacco_purchase_ind_6m,C360_CUSTOMER_PROFILE,tobacco_purchase_ind_6m,BooleanType,true
barpurchaseind,customer_purchase_indicator.bar_purchase_ind_6m,C360_CUSTOMER_PROFILE,bar_purchase_ind_6m,BooleanType,true
floralpurchaseind,customer_purchase_indicator.floral_purchase_ind_6m,C360_CUSTOMER_PROFILE,floral_purchase_ind_6m,BooleanType,true
lasttransactionchannel_cd,,C360_CUSTOMER_PROFILE,last_transaction_channel_cd,,false
engmodep3m,customer_engagement.eng_mode_p3m,C360_CUSTOMER_PROFILE,eng_mode_p3m,StringType,true
engmodep6m,customer_engagement.eng_mode_p6m,C360_CUSTOMER_PROFILE,eng_mode_p6m,StringType,true
engmodep12m,customer_engagement.eng_mode_p12m,C360_CUSTOMER_PROFILE,eng_mode_p12m,StringType,true
engmodelifetime,customer_engagement.eng_mode_lifetime,C360_CUSTOMER_PROFILE,eng_mode_lifetime,StringType,true
digitalloginp12m,customer_engagement.digital_login_p12m,C360_CUSTOMER_LAST_EVENT,last_digital_visit_dt,DateType,true
marketable_email_ind,customer_communication_preference.marketable_email_ind,C360_CUSTOMER_PROFILE,marketable_email_ind,BooleanType,false
email_opt_in_date,customer_communication_preference.email_opt_in_dt,C360_CUSTOMER_PROFILE,email_opt_in_dt,,false
